gene_name	entrez_id
SLC25A53_SNP	401612
DSG4_SNP	147409
MROH7.TTC4_SNP	NA
TMPRSS4_SNP	56649
FCGBP_SNP	8857
CHIT1_SNP	1118
KIF2B_SNP	84643
STXBP6_SNP	29091
ARL6IP5_SNP	10550
SCFD2_SNP	152579
ATXN7L2_SNP	127002
CSMD2_SNP	114784
ALG3_SNP	10195
ASPRV1_SNP	151516
HNRNPCL1_SNP	343069
POLR1A_SNP	25885
SNX19_SNP	399979
COL6A3_SNP	1293
TBC1D3B_SNP	414059
DNAH8_SNP	1769
RSBN1_SNP	54665
KCNJ16_SNP	3773
ATF4_SNP	468
NLRP12_SNP	91662
PALB2_SNP	79728
FNDC5_SNP	252995
UGT2B4_SNP	7363
IL23R_SNP	149233
CELSR2_SNP	1952
PEAK1_SNP	79834
NEB_SNP	4703
PSKH2_SNP	85481
DEFB1_SNP	1672
ZNF488_SNP	118738
ZNF283_SNP	284349
CSF1R_SNP	1436
THBS2_SNP	7058
CROCC_SNP	9696
TSSK1B_SNP	83942
KRT2_SNP	3849
ZNF705G_SNP	100131980
NTM_SNP	50863
ZNF680_SNP	340252
POLR1E_SNP	64425
COL5A3_SNP	50509
MSH5_SNP	4439
DDR1_SNP	780
TNKS1BP1_SNP	85456
MCM9_SNP	254394
PKM_SNP	5315
CD5L_SNP	922
FARP1_SNP	10160
TIE1_SNP	7075
PDE6B_SNP	5158
ARPC4.TTLL3_SNP	NA
SLC25A47_SNP	283600
STAB1_SNP	23166
ARHGAP20_SNP	57569
UNC5B_SNP	219699
NKX2.4_SNP	NA
AK7_SNP	122481
VSX1_SNP	30813
EMB_SNP	133418
MDN1_SNP	23195
OR4M1_SNP	441670
ELMO1_SNP	9844
PER3_SNP	8863
SCN11A_SNP	11280
XDH_SNP	7498
MGAT5B_SNP	146664
KHDC1_SNP	80759
SLC6A6_SNP	6533
TNFRSF11A_SNP	8792
PSMD8_SNP	5714
ZMYND10_SNP	51364
ZEB1_SNP	6935
CERS3_SNP	204219
RBMX2_SNP	51634
C2orf73_SNP	129852
NT5C1B_SNP	93034
SLIT2_SNP	9353
ATP12A_SNP	479
CNGA4_SNP	1262
GIMAP7_SNP	168537
ZRANB3_SNP	84083
RABGEF1_SNP	27342
MUC2_SNP	4583
CCT6B_SNP	10693
C1R_SNP	715
ZNF7_SNP	7553
COL19A1_SNP	1310
SCML2_SNP	10389
GHDC_SNP	84514
IRX1_SNP	79192
TMCC3_SNP	57458
THSD7B_SNP	80731
SYBU_SNP	55638
KCNC3_SNP	3748
GFRA1_SNP	2674
GRIA3_SNP	2892
SPINK5_SNP	11005
LRFN2_SNP	57497
CD44_SNP	960
OR5D14_SNP	219436
ATP6V0D2_SNP	245972
CD302_SNP	9936
